,numVoy,mmsi,numObsInVoys,type,ave_len_voy,ave_time_gap,ave_dist_gap,vi_dist_gap,vi_time_gap,numObs,numShips,numVoyages,aveNumVoyages,numVoyages_q25,vi_dist_diff_q75,vi_time_diff_q75,voy_len_q75,time_gap_q75,dist_gap_q75
226,1,177523928951928.0,118063,drifting_longlines,111287113.0,821.0,0.002553274422545191,0.7600030324289831,942.6158543815961,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
227,5,178183327397239.0,67605,purse_seines,23381645.6,5443.750214606236,1.3819491523209675,1.1173325211444973,1727.4549507654606,1545306,28,360,NULL,NULL,0.5231519142948668,937.0,8352896.5,3209.08,2.5530147838089783
228,2,178555652571863.0,6559,purse_seines,53769740.0,2672.4682175622543,0.7223891016217864,3.527517107523318,16400.71374104011,1545306,28,360,NULL,NULL,0.5231519142948668,937.0,8352896.5,3209.08,2.5530147838089783
229,1,178858950138911.0,39443,fixed_gear,124517008.0,5188.786666666667,1.2111372270111131,1.4729479524848237,3156.964859794128,1559093,36,698,NULL,NULL,0.5044203785446466,949.0,170571.5,5121.719308035714,1.5636171172796722
230,5,180084767642619.0,81627,drifting_longlines,28615716.0,1748.5393345254874,1.0774582398449852,0.8169054166114316,1752.8145611799873,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
231,4,181792856256929.0,6460,fixed_gear,20934770.0,3614.16580697971,1.3989717585924286,3.387388978464078,12970.737298636926,1559093,36,698,NULL,NULL,0.5044203785446466,949.0,170571.5,5121.719308035714,1.5636171172796722
232,23,182087889708399.0,287416,drifting_longlines,6579351.217391305,1665.2057693256431,0.7635270412867355,0.8169218678644535,510.9518185394168,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
233,9,183307128826540.0,48696,unknown,15123060.888888888,1969.9867834962788,1.0485454328336,4.51266350034645,2793.637905922416,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
234,1,183315297229165.0,60854,unknown,154421464.0,1218.3728813559321,1.3693913254911891,1.3551753235258752,2537.6146451284244,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
235,6,183690246677486.0,125980,drifting_longlines,17376020.0,1846.6786629381788,1.1022714964623896,1.2555299733554763,827.610050961279,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
236,31,183812835001603.0,60692,trawlers,4390703.548387097,2873.6133600745384,1.2255503833998065,0.8655928918238197,2243.159577448541,4368464,49,2501,NULL,NULL,0.5444712833660966,898.0,946266.0,2538.6162744395833,1.5939254923600168
237,6,184417002225525.0,78060,drifting_longlines,24291777.5,802.768745143745,0.6448870031762687,2.7335730738450716,1792.7834007603822,13968275,110,1385,NULL,NULL,0.3490017336979671,452.0,5445760.0,2684.373689727463,1.428384245279476
238,9,184777002834026.0,120670,unknown,15910889.777777778,2485.2053502693984,5.190730397154023,0.7514779562777084,1186.6011246656233,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
239,8,184922007900201.0,26159,fixed_gear,13897283.625,2053.3585402422627,1.0043660516954809,1.7591170671914655,4251.098917906167,1559093,36,698,NULL,NULL,0.5044203785446466,949.0,170571.5,5121.719308035714,1.5636171172796722
240,313,185079710227621.0,22996,fixed_gear,70430.60383386581,5049.09070920614,1.247701605386503,3.6052197097763488,1821.4520992972916,1559093,36,698,NULL,NULL,0.5044203785446466,949.0,170571.5,5121.719308035714,1.5636171172796722
241,4,185191354590588.0,453998,unknown,38572204.25,227.8778759019159,0.20023302709460886,0.5185174204966752,339.84434987742264,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
242,1,185895448245062.0,5031,unknown,76037533.0,164.9052380952381,0.004006995635760614,1.5687934554429144,15116.805765407555,6811451,120,2125,NULL,NULL,0.4091222045231135,893.0,1589144.0,2599.531300296112,2.021862503131041
